Array Size,Merge Sort,Counting Sort,Quick Sort,Radix Sort
401000,0.116000,0.007000,0.596000,0.041000
402000,0.105000,0.006000,0.630000,0.036000
403000,0.160000,0.014000,0.747000,0.045000
404000,0.148000,0.007000,0.653000,0.063000
405000,0.140000,0.005000,0.701000,0.062000
406000,0.138000,0.006000,0.551000,0.035000
407000,0.173000,0.010000,0.588000,0.045000
408000,0.172000,0.011000,0.667000,0.032000
409000,0.160000,0.012000,0.800000,0.042000
410000,0.115000,0.006000,0.765000,0.039000
411000,0.092000,0.006000,0.639000,0.033000
412000,0.096000,0.006000,0.687000,0.040000
413000,0.161000,0.006000,0.770000,0.043000
414000,0.135000,0.005000,0.830000,0.032000
415000,0.120000,0.012000,0.687000,0.032000
416000,0.152000,0.009000,0.660000,0.032000
417000,0.093000,0.007000,0.580000,0.032000
418000,0.111000,0.011000,0.659000,0.032000
419000,0.089000,0.005000,0.656000,0.034000
420000,0.127000,0.007000,0.747000,0.032000
421000,0.138000,0.010000,0.691000,0.045000
422000,0.141000,0.005000,0.632000,0.032000
423000,0.161000,0.013000,0.749000,0.049000
424000,0.148000,0.008000,0.676000,0.046000
425000,0.166000,0.005000,0.627000,0.033000
426000,0.099000,0.007000,0.749000,0.033000
427000,0.179000,0.016000,0.729000,0.045000
428000,0.163000,0.007000,0.670000,0.052000
429000,0.154000,0.006000,0.736000,0.077000
430000,0.188000,0.007000,0.629000,0.038000
431000,0.106000,0.008000,0.720000,0.059000
432000,0.224000,0.007000,0.843000,0.042000
433000,0.150000,0.008000,0.868000,0.042000
434000,0.162000,0.013000,0.679000,0.034000
435000,0.108000,0.010000,0.826000,0.043000
436000,0.127000,0.013000,0.867000,0.040000
437000,0.130000,0.007000,0.716000,0.040000
438000,0.112000,0.006000,0.670000,0.049000
439000,0.180000,0.011000,0.742000,0.033000
440000,0.095000,0.006000,0.925000,0.047000
441000,0.117000,0.006000,0.801000,0.039000
442000,0.177000,0.012000,0.770000,0.043000
443000,0.154000,0.006000,0.788000,0.056000
444000,0.149000,0.007000,0.663000,0.040000
445000,0.145000,0.008000,0.869000,0.070000
446000,0.106000,0.005000,0.785000,0.066000
447000,0.112000,0.011000,0.811000,0.037000
448000,0.137000,0.008000,0.801000,0.036000
449000,0.184000,0.015000,0.872000,0.035000
450000,0.168000,0.007000,0.839000,0.042000
451000,0.123000,0.007000,0.845000,0.071000
452000,0.179000,0.013000,0.817000,0.043000
453000,0.181000,0.007000,0.888000,0.036000
454000,0.155000,0.020000,0.842000,0.065000
455000,0.140000,0.007000,0.725000,0.040000
456000,0.192000,0.009000,0.803000,0.058000
457000,0.155000,0.007000,0.762000,0.044000
458000,0.162000,0.008000,0.781000,0.041000
459000,0.134000,0.007000,0.896000,0.074000
460000,0.140000,0.008000,0.751000,0.035000
461000,0.132000,0.007000,0.860000,0.045000
462000,0.164000,0.007000,0.788000,0.043000
463000,0.127000,0.008000,0.886000,0.036000
464000,0.131000,0.007000,0.743000,0.057000
465000,0.159000,0.007000,0.866000,0.049000
466000,0.215000,0.015000,0.793000,0.041000
467000,0.197000,0.009000,0.860000,0.043000
468000,0.124000,0.010000,0.880000,0.039000
469000,0.109000,0.007000,0.901000,0.046000
470000,0.120000,0.007000,0.849000,0.044000
471000,0.127000,0.009000,0.883000,0.039000
472000,0.125000,0.014000,0.807000,0.045000
473000,0.124000,0.006000,0.871000,0.048000
474000,0.125000,0.010000,0.968000,0.051000
475000,0.177000,0.009000,0.801000,0.037000
476000,0.168000,0.009000,0.948000,0.037000
477000,0.125000,0.007000,0.926000,0.043000
